"group","@id","rfds:label","rdfs:comment","rdfs:label.zh-cn","rdfs:comment.zh-cn"
"type","http://schema.org/BusinessEntityType",,"<p>A business entity type is a conceptual entity representing the legal form, the size, the main line of business, the position in the value chain, or any combination thereof, of an organization or business person.</p>

<p>Commonly used values:</p>

<ul>
<li>http://purl.org/goodrelations/v1#Business</li>
<li>http://purl.org/goodrelations/v1#Enduser</li>
<li>http://purl.org/goodrelations/v1#PublicInstitution</li>
<li>http://purl.org/goodrelations/v1#Reseller</li>
</ul>
","商业实体类型","商业实体类型，包含了商业活动中的各种实体，通常有下面的取值
	http://purl.org/goodrelations/v1#Business	商业
	http://purl.org/goodrelations/v1#Enduser	终端用户
    http://purl.org/goodrelations/v1#PublicInstitution	公共机构
    http://purl.org/goodrelations/v1#Reseller	中间商

			
			"
"type","http://schema.org/BusinessEvent",,"Event type: Business event.","商业事件","事件类型：商业事件"
"type","http://schema.org/BusinessFunction",,"<p>The business function specifies the type of activity or access (i.e., the bundle of rights) offered by the organization or business person through the offer. Typical are sell, rental or lease, maintenance or repair, manufacture / produce, recycle / dispose, engineering / construction, or installation. Proprietary specifications of access rights are also instances of this class.</p>

<p>Commonly used values:</p>

<ul>
<li>http://purl.org/goodrelations/v1#ConstructionInstallation</li>
<li>http://purl.org/goodrelations/v1#Dispose</li>
<li>http://purl.org/goodrelations/v1#LeaseOut</li>
<li>http://purl.org/goodrelations/v1#Maintain</li>
<li>http://purl.org/goodrelations/v1#ProvideService</li>
<li>http://purl.org/goodrelations/v1#Repair</li>
<li>http://purl.org/goodrelations/v1#Sell</li>
<li>http://purl.org/goodrelations/v1#Buy</li>
</ul>
","商业活动","商业活动的枚举，包含了商业常见的活动，通常有下面的取值
	http://purl.org/goodrelations/v1#ConstructionInstallation		建设、安装
    http://purl.org/goodrelations/v1#Dispose						处理
    http://purl.org/goodrelations/v1#LeaseOut						租赁
    http://purl.org/goodrelations/v1#Maintain						维护
    http://purl.org/goodrelations/v1#ProvideService					提供服务
    http://purl.org/goodrelations/v1#Repair							维修
    http://purl.org/goodrelations/v1#Sell							销售
    http://purl.org/goodrelations/v1#Buy							购买

			"
"type","http://schema.org/BuyAction",,"The act of giving money to a seller in exchange for goods or services rendered. An agent buys an object, product, or service from a seller for a price. Reciprocal of SellAction.",,
"type","http://schema.org/CableOrSatelliteService",,"A service which provides access to media programming like TV or radio. Access may be via cable or satellite.",,
"type","http://schema.org/CafeOrCoffeeShop",,"A cafe or coffee shop.","咖啡厅或咖啡店","咖啡厅或咖啡店"
"type","http://schema.org/Campground",,"A camping site, campsite, or campground is a place used for overnight stay in the outdoors. In British English a campsite is an area, usually divided into a number of pitches, where people can camp overnight using tents or camper vans or caravans; this British English use of the word is synonymous with the American English expression campground. In American English the term campsite generally means an area where an individual, family, group, or military unit can pitch a tent or parks a camper; a campground may contain many campsites (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Campsite"">http://en.wikipedia.org/wiki/Campsite</a>).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.","露营地","露营地 或 野营地"
"type","http://schema.org/CampingPitch",,"A camping pitch is an individual place for overnight stay in the outdoors, typically being part of a larger camping site.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.",,
"type","http://schema.org/Canal",,"A canal, like the Panama Canal.","海峡","海峡，如巴拿马海峡"
"type","http://schema.org/CancelAction",,"<p>The act of asserting that a future event/action is no longer going to happen.</p>

<p>Related actions:</p>

<ul>
<li><a class=""localLink"" href=""http://schema.org/ConfirmAction"">ConfirmAction</a>: The antonym of CancelAction.</li>
</ul>
",,
"type","http://schema.org/Car",,"A car is a wheeled, self-powered motor vehicle used for transportation.",,
"type","http://schema.org/Casino",,"A casino.","赌场","游艺场，赌场"
"type","http://schema.org/CatholicChurch",,"A Catholic church.","天主教堂","天主教堂"
"type","http://schema.org/Cemetery",,"A graveyard.","公墓","墓地，公墓"
"type","http://schema.org/CheckAction",,"An agent inspects, determines, investigates, inquires, or examines an object's accuracy, quality, condition, or state.",,
"type","http://schema.org/CheckInAction",,"<p>The act of an agent communicating (service provider, social media, etc) their arrival by registering/confirming for a previously reserved service (e.g. flight check in) or at a place (e.g. hotel), possibly resulting in a result (boarding pass, etc).</p>

<p>Related actions:</p>

<ul>
<li><a class=""localLink"" href=""http://schema.org/CheckOutAction"">CheckOutAction</a>: The antonym of CheckInAction.</li>
<li><a class=""localLink"" href=""http://schema.org/ArriveAction"">ArriveAction</a>: Unlike ArriveAction, CheckInAction implies that the agent is informing/confirming the start of a previously reserved service.</li>
<li><a class=""localLink"" href=""http://schema.org/ConfirmAction"">ConfirmAction</a>: Unlike ConfirmAction, CheckInAction implies that the agent is informing/confirming the <em>start</em> of a previously reserved service rather than its validity/existence.</li>
</ul>
",,
"type","http://schema.org/CheckOutAction",,"<p>The act of an agent communicating (service provider, social media, etc) their departure of a previously reserved service (e.g. flight check in) or place (e.g. hotel).</p>

<p>Related actions:</p>

<ul>
<li><a class=""localLink"" href=""http://schema.org/CheckInAction"">CheckInAction</a>: The antonym of CheckOutAction.</li>
<li><a class=""localLink"" href=""http://schema.org/DepartAction"">DepartAction</a>: Unlike DepartAction, CheckOutAction implies that the agent is informing/confirming the end of a previously reserved service.</li>
<li><a class=""localLink"" href=""http://schema.org/CancelAction"">CancelAction</a>: Unlike CancelAction, CheckOutAction implies that the agent is informing/confirming the end of a previously reserved service.</li>
</ul>
",,
"type","http://schema.org/CheckoutPage",,"Web page type: Checkout page.","登出页","页面类型:登出页"
"type","http://schema.org/ChildCare",,"A Childcare center.","幼儿园","幼儿园，托儿所"
"type","http://schema.org/ChildrensEvent",,"Event type: Children's event.","儿童相关事件","事件类型: 儿童相关事件"
"type","http://schema.org/ChooseAction",,"The act of expressing a preference from a set of options or a large or unbounded set of choices/options.",,
"type","http://schema.org/Church",,"A church.","教堂","教堂"
"type","http://schema.org/City",,"A city or town.","城市","城市或城镇"
"type","http://schema.org/CityHall",,"A city hall.","市政厅","市政厅"
"type","http://schema.org/CivicStructure",,"A public structure, such as a town hall or concert hall.","公众建筑","泛指开放给公众的建筑，比如音乐厅，博物馆等"
"type","http://schema.org/ClaimReview",,"A fact-checking review of claims made (or reported) in some creative work (referenced via itemReviewed).",,
"type","http://schema.org/Clip",,"A short TV or radio program or a segment/part of a program.",,
"type","http://schema.org/ClothingStore",,"A clothing store.","服装店","服装店"
"type","http://schema.org/Code",,"Computer programming source code. Example: Full (compile ready) solutions, code snippet samples, scripts, templates.","源码","计算机程序源码  包括 解决方案，代码片段，demo，脚本，模版等"
"type","http://schema.org/CollectionPage",,"Web page type: Collection page.","采集页","页面类型：采集页"
"type","http://schema.org/CollegeOrUniversity",,"A college, university, or other third-level educational institution.","学院或大学","学院 或 综合型大学"
"type","http://schema.org/ComedyClub",,"A comedy club.","喜剧俱乐部","喜剧俱乐部"
"type","http://schema.org/ComedyEvent",,"Event type: Comedy event.","搞笑事件","事件类型:搞笑事件"
"type","http://schema.org/Comment",,"A comment on an item - for example, a comment on a blog post. The comment's content is expressed via the <a class=""localLink"" href=""http://schema.org/text"">text</a> property, and its topic via <a class=""localLink"" href=""http://schema.org/about"">about</a>, properties shared with all CreativeWorks.","评论","关于某个事物的评论，比如 一个博客帖的评论。评论的内容通过""text"" 属性来表达，主题通过""about"" 表达。"
"type","http://schema.org/CommentAction",,"The act of generating a comment about a subject.",,
"type","http://schema.org/CommunicateAction",,"The act of conveying information to another person via a communication medium (instrument) such as speech, email, or telephone conversation.",,
"type","http://schema.org/CompoundPriceSpecification",,"A compound price specification is one that bundles multiple prices that all apply in combination for different dimensions of consumption. Use the name property of the attached unit price specification for indicating the dimension of a price component (e.g. ""electricity"" or ""final cleaning"").",,
"type","http://schema.org/ComputerLanguage",,"This type covers computer programming languages such as Scheme and Lisp, as well as other language-like computer representations. Natural languages are best represented with the <a class=""localLink"" href=""http://schema.org/Language"">Language</a> type.",,
"type","http://schema.org/ComputerStore",,"A computer store.","计算机商店","计算机商店"
"type","http://schema.org/ConfirmAction",,"<p>The act of notifying someone that a future event/action is going to happen as expected.</p>

<p>Related actions:</p>

<ul>
<li><a class=""localLink"" href=""http://schema.org/CancelAction"">CancelAction</a>: The antonym of ConfirmAction.</li>
</ul>
",,
"type","http://schema.org/ConsumeAction",,"The act of ingesting information/resources/food.",,
"type","http://schema.org/ContactPage",,"Web page type: Contact page.","联系页","页面类型:联系页"
"type","http://schema.org/ContactPoint",,"A contact point&#x2014;for example, a Customer Complaints department.","联络点","联络点，比如 客户投诉中心"
"type","http://schema.org/ContactPointOption",,"Enumerated options related to a ContactPoint.",,
"type","http://schema.org/Continent",,"One of the continents (for example, Europe or Africa).","大陆","大陆，比如欧洲大陆或非洲大陆"
"type","http://schema.org/ControlAction",,"An agent controls a device or application.",,
"type","http://schema.org/ConvenienceStore",,"A convenience store.","便利店","便利店"
"type","http://schema.org/Conversation",,"One or more messages between organizations or people on a particular topic. Individual messages can be linked to the conversation with isPartOf or hasPart properties.",,
"type","http://schema.org/CookAction",,"The act of producing/preparing food.",,
"type","http://schema.org/Corporation",,"Organization: A business corporation.","企业","企业"
"type","http://schema.org/Country",,"A country.","国家","国家"
"type","http://schema.org/Course",,"A description of an educational course which may be offered as distinct instances at which take place at different times or take place at different locations, or be offered through different media or modes of study. An educational course is a sequence of one or more educational events and/or creative works which aims to build knowledge, competence or ability of learners.",,
"type","http://schema.org/CourseInstance",,"An instance of a <a class=""localLink"" href=""http://schema.org/Course"">Course</a> which is distinct from other instances because it is offered at a different time or location or through different media or modes of study or to a specific section of students.",,
"type","http://schema.org/Courthouse",,"A courthouse.","法院",
"type","http://schema.org/CreateAction",,"The act of deliberately creating/producing/generating/building a result out of the agent.",,
"type","http://schema.org/CreativeWork",,"The most generic kind of creative work, including books, movies, photographs, software programs, etc.","创作品","各种创造物的基类，包括书籍、电影、照片，软件等."
"type","http://schema.org/CreativeWorkSeason",,"A media season e.g. tv, radio, video game etc.",,
"type","http://schema.org/CreativeWorkSeries",,"A CreativeWorkSeries in schema.org is a group of related items, typically but not necessarily of the same kind. CreativeWorkSeries are usually organized into some order, often chronological. Unlike <a class=""localLink"" href=""http://schema.org/ItemList"">ItemList</a> which is a general purpose data structure for lists of things, the emphasis with CreativeWorkSeries is on published materials (written e.g. books and periodicals, or media such as tv, radio and games).</p>

<p>Specific subtypes are available for describing <a class=""localLink"" href=""http://schema.org/TVSeries"">TVSeries</a>, <a class=""localLink"" href=""http://schema.org/RadioSeries"">RadioSeries</a>, <a class=""localLink"" href=""http://schema.org/MovieSeries"">MovieSeries</a>, <a class=""localLink"" href=""http://schema.org/BookSeries"">BookSeries</a>, <a class=""localLink"" href=""http://schema.org/Periodical"">Periodical</a> and <a class=""localLink"" href=""http://schema.org/VideoGameSeries"">VideoGameSeries</a>. In each case, the <a class=""localLink"" href=""http://schema.org/hasPart"">hasPart</a> / <a class=""localLink"" href=""http://schema.org/isPartOf"">isPartOf</a> properties can be used to relate the CreativeWorkSeries to its parts. The general CreativeWorkSeries type serves largely just to organize these more specific and practical subtypes.</p>

<p>It is common for properties applicable to an item from the series to be usefully applied to the containing group. Schema.org attempts to anticipate some of these cases, but publishers should be free to apply properties of the series parts to the series as a whole wherever they seem appropriate.",,
"type","http://schema.org/CreditCard",,"<p>A card payment method of a particular brand or name.  Used to mark up a particular payment method and/or the financial product/service that supplies the card account.</p>

<p>Commonly used values:</p>

<ul>
<li>http://purl.org/goodrelations/v1#AmericanExpress</li>
<li>http://purl.org/goodrelations/v1#DinersClub</li>
<li>http://purl.org/goodrelations/v1#Discover</li>
<li>http://purl.org/goodrelations/v1#JCB</li>
<li>http://purl.org/goodrelations/v1#MasterCard</li>
<li>http://purl.org/goodrelations/v1#VISA</li>
</ul>
","信用卡","信用卡，包含了常见的信用卡类型. 通常有下面的取值
	http://purl.org/goodrelations/v1#AmericanExpress	美国运通卡
    http://purl.org/goodrelations/v1#DinersClub			大来卡			
    http://purl.org/goodrelations/v1#Discover			发现卡
    http://purl.org/goodrelations/v1#JCB				日财卡
    http://purl.org/goodrelations/v1#MasterCard			万事达卡
    http://purl.org/goodrelations/v1#VISA				维萨卡				

			"
"type","http://schema.org/Crematorium",,"A crematorium.","火葬场","火葬场"
"type","http://schema.org/CurrencyConversionService",,"A service to convert funds from one currency to another currency.",,
"type","http://schema.org/DanceEvent",,"Event type: A social dance.","舞蹈事件","舞蹈事件"
"type","http://schema.org/DanceGroup",,"A dance group&#x2014;for example, the Alvin Ailey Dance Theater or Riverdance.","舞蹈团","舞蹈团，如 中央民族大学舞蹈团"
"type","http://schema.org/DataCatalog",,"A collection of datasets.","数据目录","数据目录"
"type","http://schema.org/DataDownload",,"A dataset in downloadable form.","数据下载","可下载的数据集合"
"type","http://schema.org/DataFeed",,"A single feed providing structured information about one or more entities or topics.",,
"type","http://schema.org/DataFeedItem",,"A single item within a larger data feed.",,
"type","http://schema.org/DataType",,"The basic data types such as Integers, Strings, etc.","数据类型","基础数据类型的基类"
"type","http://schema.org/Dataset",,"A body of structured information describing some topic(s) of interest.","数据集合","表述某个主题的结构化信息"
"type","http://schema.org/Date",,"A date value in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>.","日期","日期，使用 <a href='http://en.wikipedia.org/wiki/ISO_8601'>ISO 8601 日期格式</a>."
"type","http://schema.org/DateTime",,"A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm] (see Chapter 5.4 of ISO 8601).",,"包括了年，月，日 和 时，分，秒 [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm] (参考 Chapter 5.4 有关 ISO 8601)."
"type","http://schema.org/DatedMoneySpecification",,"A DatedMoneySpecification represents monetary values with optional start and end dates. For example, this could represent an employee's salary over a specific period of time. <strong>Note:</strong> This type has been superseded by <a class=""localLink"" href=""http://schema.org/MonetaryAmount"">MonetaryAmount</a> use of that type is recommended",,
"type","http://schema.org/DayOfWeek",,"The day of the week, e.g. used to specify to which day the opening hours of an OpeningHoursSpecification refer.</p>

<p>Originally, URLs from <a href=""http://purl.org/goodrelations/v1"">GoodRelations</a> were used (for <a class=""localLink"" href=""http://schema.org/Monday"">Monday</a>, <a class=""localLink"" href=""http://schema.org/Tuesday"">Tuesday</a>, <a class=""localLink"" href=""http://schema.org/Wednesday"">Wednesday</a>, <a class=""localLink"" href=""http://schema.org/Thursday"">Thursday</a>, <a class=""localLink"" href=""http://schema.org/Friday"">Friday</a>, <a class=""localLink"" href=""http://schema.org/Saturday"">Saturday</a>, <a class=""localLink"" href=""http://schema.org/Sunday"">Sunday</a> plus a special entry for <a class=""localLink"" href=""http://schema.org/PublicHolidays"">PublicHolidays</a>); these have now been integrated directly into schema.org.","星期名称","一个星期每一天的名称，通常有下面的值
	http://purl.org/goodrelations/v1#Monday			周一
    http://purl.org/goodrelations/v1#Tuesday		周二
    http://purl.org/goodrelations/v1#Wednesday		周三
    http://purl.org/goodrelations/v1#Thursday		周四
    http://purl.org/goodrelations/v1#Friday			周五
    http://purl.org/goodrelations/v1#Saturday		周六
    http://purl.org/goodrelations/v1#Sunday			周日/周天
    http://purl.org/goodrelations/v1#PublicHolidays		公共假日
			"
"type","http://schema.org/DaySpa",,"A day spa.","日间SPA","日间SPA，水疗"
"type","http://schema.org/DeactivateAction",,"The act of stopping or deactivating a device or application (e.g. stopping a timer or turning off a flashlight).",,
"type","http://schema.org/DefenceEstablishment",,"A defence establishment, such as an army or navy base.","防御工事","防御工事，如军营或海军基地"
"type","http://schema.org/DeleteAction",,"The act of editing a recipient by removing one of its objects.",,
"type","http://schema.org/DeliveryChargeSpecification",,"The price for the delivery of an offer using a particular delivery method.","物流费用详情","物流费用详情"
"type","http://schema.org/DeliveryEvent",,"An event involving the delivery of an item.",,
"type","http://schema.org/DeliveryMethod",,"<p>A delivery method is a standardized procedure for transferring the product or service to the destination of fulfillment chosen by the customer. Delivery methods are characterized by the means of transportation used, and by the organization or group that is the contracting party for the sending organization or person.</p>

<p>Commonly used values:</p>

<ul>
<li>http://purl.org/goodrelations/v1#DeliveryModeDirectDownload</li>
<li>http://purl.org/goodrelations/v1#DeliveryModeFreight</li>
<li>http://purl.org/goodrelations/v1#DeliveryModeMail</li>
<li>http://purl.org/goodrelations/v1#DeliveryModeOwnFleet</li>
<li>http://purl.org/goodrelations/v1#DeliveryModePickUp</li>
<li>http://purl.org/goodrelations/v1#DHL</li>
<li>http://purl.org/goodrelations/v1#FederalExpress</li>
<li>http://purl.org/goodrelations/v1#UPS</li>
</ul>
","物流方式","物流方式"
"type","http://schema.org/Demand",,"A demand entity represents the public, not necessarily binding, not necessarily exclusive, announcement by an organization or person to seek a certain type of goods or services. For describing demand using this type, the very same properties used for Offer apply.","需求","一个组织或个人公开发表的对某个物品或服务的需要"
"type","http://schema.org/Dentist",,"A dentist.","口腔诊所","口腔诊所，医院"
"type","http://schema.org/DepartAction",,"The act of  departing from a place. An agent departs from an fromLocation for a destination, optionally with participants.",,
"type","http://schema.org/DepartmentStore",,"A department store.","百货公司","百货公司"
